complaint_id,complaint_text,category,priority,complexity,recommended_team
CMP-0327,The service I requested has not been provided yet. I have been facing this issue recently.,Service,Medium,Medium,Service Support
CMP-0328,The refund amount I received is incorrect.,Billing,High,Medium,Billing Support
CMP-0329,My service request is still pending. Can you assist me with this?,Service,High,Medium,Service Support
CMP-0330,I am unable to upload a required document. I would like an update.,Technical,Low,Medium,Technical Support
CMP-0331,I cannot complete account verification. I would like an update.,Account,High,High,Account Support
CMP-0332,I need an update about my service request.,Service,Medium,Low,Service Support
CMP-0333,I am not sure which department can help with my issue. Please help me resolve this.,Other,Low,Low,General Support
CMP-0334,I cannot access my registered account. I have been facing this issue recently.,Account,Medium,Medium,Account Support
CMP-0335,My payment was deducted but the order was not confirmed. I would like an update.,Billing,High,Low,Billing Support
CMP-0336,I need assistance with something else. Can you assist me with this?,Other,Low,Medium,General Support
CMP-0337,The service is unavailable and I cannot use the application.,Technical,Urgent,Medium,Technical Support
CMP-0338,I need an update on my delivery.,Delivery,High,High,Delivery Support
CMP-0339,The delivery address was not handled correctly.,Delivery,Medium,Medium,Delivery Support
CMP-0340,I need help with an issue not listed in the available categories. I would like an update.,Other,Low,Medium,General Support
CMP-0341,The application stopped working after the latest update. This needs to be checked.,Technical,High,Medium,Technical Support
CMP-0342,The delivered item is missing from my order.,Delivery,Low,Medium,Delivery Support
CMP-0343,The delivery address was not handled correctly.,Delivery,Medium,Medium,Delivery Support
CMP-0344,I need assistance with a general request. I would like an update.,Other,Low,Low,General Support
CMP-0345,The payment failed but money was deducted from my account. Please help me resolve this.,Billing,Medium,Medium,Billing Support
CMP-0346,The delivered item is missing from my order. Please help me resolve this.,Delivery,Urgent,Medium,Delivery Support
CMP-0347,I need help with an issue not listed in the available categories. I have been facing this issue recently.,Other,Low,Medium,General Support
CMP-0348,I need help with an issue not listed in the available categories. Please help me resolve this.,Other,Low,Medium,General Support
CMP-0349,I cannot reset my account password. I would like an update.,Account,High,Medium,Account Support
CMP-0350,The payment failed but money was deducted from my account. I would like an update.,Billing,Medium,High,Billing Support
CMP-0351,I need an update on my delivery. I would like an update.,Delivery,Urgent,Medium,Delivery Support
CMP-0352,The service representative did not resolve my issue.,Service,Low,Low,Service Support
CMP-0353,The payment failed but money was deducted from my account. This needs to be checked.,Billing,Low,Medium,Billing Support
CMP-0354,My profile information is incorrect. Please help me resolve this.,Account,Medium,Medium,Account Support
CMP-0355,The delivery status has not changed for several days.,Delivery,Medium,Low,Delivery Support
CMP-0356,I received the wrong item in my delivery. Can you assist me with this?,Delivery,High,Low,Delivery Support
CMP-0357,The assigned service was incomplete. I would like an update.,Service,Medium,Medium,Service Support
CMP-0358,I am unable to upload a required document. I would like an update.,Technical,Medium,Medium,Technical Support
CMP-0359,I received a service different from what I requested. This needs to be checked.,Service,High,High,Service Support
CMP-0360,I was charged twice for the same transaction. I have been facing this issue recently.,Billing,Medium,Medium,Billing Support
CMP-0361,I need help with an issue not listed in the available categories.,Other,Low,Medium,General Support
CMP-0362,I cannot reset my account password. Please help me resolve this.,Account,Urgent,Medium,Account Support
CMP-0363,The service representative did not resolve my issue. This needs to be checked.,Service,Low,Low,Service Support
CMP-0364,I am unable to upload a required document. I would like an update.,Technical,Medium,Medium,Technical Support
CMP-0365,I received the wrong item in my delivery. Can you assist me with this?,Delivery,Medium,Low,Delivery Support
CMP-0366,I need an update about my service request.,Service,Urgent,Low,Service Support
CMP-0367,My order was marked delivered but I did not receive it. Can you assist me with this?,Delivery,High,Medium,Delivery Support
CMP-0368,Please help me understand the complaint process. Please help me resolve this.,Other,Medium,Low,General Support
CMP-0369,My account appears to be locked.,Account,High,Low,Account Support
CMP-0370,I am unable to upload a required document.,Technical,Low,High,Technical Support
CMP-0371,The service representative did not resolve my issue. I have been facing this issue recently.,Service,Urgent,Medium,Service Support
CMP-0372,My scheduled service has been delayed. I have been facing this issue recently.,Service,Medium,Medium,Service Support
CMP-0373,A technical error appears when I submit the form. Can you assist me with this?,Technical,High,High,Technical Support
CMP-0374,The mobile application keeps showing an error. This needs to be checked.,Technical,Urgent,Medium,Technical Support
CMP-0375,My service request is still pending. Can you assist me with this?,Service,High,High,Service Support
CMP-0376,I was charged an unexpected service fee. This needs to be checked.,Billing,Low,Medium,Billing Support
CMP-0377,My order was marked delivered but I did not receive it. This needs to be checked.,Delivery,Low,Low,Delivery Support
CMP-0378,The service quality was not as expected. This needs to be checked.,Service,Medium,Medium,Service Support
CMP-0379,The system is responding very slowly. I have been facing this issue recently.,Technical,Medium,Medium,Technical Support
CMP-0380,The page keeps loading and never opens. Can you assist me with this?,Technical,Low,Low,Technical Support
CMP-0381,The refund amount I received is incorrect. Please help me resolve this.,Billing,Medium,Low,Billing Support
CMP-0382,Please guide me regarding my request. I would like an update.,Other,Medium,Medium,General Support
CMP-0383,The service quality was not as expected. I would like an update.,Service,High,High,Service Support
CMP-0384,My scheduled service has been delayed. I have been facing this issue recently.,Service,Medium,Medium,Service Support
CMP-0385,I received the wrong item in my delivery. Can you assist me with this?,Delivery,Low,Low,Delivery Support
CMP-0386,I need assistance with something else. I have been facing this issue recently.,Other,Medium,Low,General Support
CMP-0387,My order has not been delivered yet.,Delivery,High,High,Delivery Support
CMP-0388,The delivery status has not changed for several days. I have been facing this issue recently.,Delivery,High,Medium,Delivery Support
CMP-0389,My order has not been delivered yet. This needs to be checked.,Delivery,Low,Medium,Delivery Support
CMP-0390,I would like more information about the available services. This needs to be checked.,Other,Low,High,General Support
CMP-0391,I am unable to update my email address. This needs to be checked.,Account,Urgent,Low,Account Support
CMP-0392,I need help changing my account details. This needs to be checked.,Account,Medium,Low,Account Support
CMP-0393,A technical error appears when I submit the form. I have been facing this issue recently.,Technical,Medium,High,Technical Support
CMP-0394,I am unhappy with the support service I received. Please help me resolve this.,Service,Medium,Medium,Service Support
CMP-0395,The payment failed but money was deducted from my account. Please help me resolve this.,Billing,Medium,Low,Billing Support
CMP-0396,I cannot access the dashboard after logging in.,Technical,Urgent,High,Technical Support
CMP-0397,My order was marked delivered but I did not receive it. Please help me resolve this.,Delivery,Low,High,Delivery Support
CMP-0398,I received a service different from what I requested. I have been facing this issue recently.,Service,Medium,Medium,Service Support
CMP-0399,I cannot complete account verification. This needs to be checked.,Account,Medium,Low,Account Support
CMP-0400,I was charged twice for the same transaction. This needs to be checked.,Billing,Medium,High,Billing Support
CMP-0401,The application stopped working after the latest update. I would like an update.,Technical,Urgent,Low,Technical Support
CMP-0402,I need an update on my delivery. I would like an update.,Delivery,Medium,High,Delivery Support
CMP-0403,I cannot access my registered account. I would like an update.,Account,Medium,Medium,Account Support
CMP-0404,The service I requested has not been provided yet. This needs to be checked.,Service,Urgent,Medium,Service Support
CMP-0405,The promised service has not started. I would like an update.,Service,Urgent,Medium,Service Support
CMP-0406,The delivery status has not changed for several days. Can you assist me with this?,Delivery,Medium,Low,Delivery Support
CMP-0407,My billing statement contains an incorrect charge. I would like an update.,Billing,Medium,Low,Billing Support
CMP-0408,My scheduled service has been delayed. Please help me resolve this.,Service,Medium,Medium,Service Support
CMP-0409,My payment was deducted but the order was not confirmed.,Billing,High,Low,Billing Support
CMP-0410,I cannot complete account verification. This needs to be checked.,Account,High,High,Account Support
CMP-0411,A technical error appears when I submit the form. Can you assist me with this?,Technical,Medium,Medium,Technical Support
CMP-0412,The delivery status has not changed for several days. Can you assist me with this?,Delivery,Medium,High,Delivery Support
CMP-0413,I need an update on my delivery. I have been facing this issue recently.,Delivery,Medium,Medium,Delivery Support
CMP-0414,The payment failed but money was deducted from my account. I would like an update.,Billing,Medium,High,Billing Support
CMP-0415,The delivery status has not changed for several days. I have been facing this issue recently.,Delivery,Low,Medium,Delivery Support
CMP-0416,I need an update on my delivery. I would like an update.,Delivery,Low,Medium,Delivery Support
CMP-0417,My package has been delayed unexpectedly. Please help me resolve this.,Delivery,Medium,Medium,Delivery Support
CMP-0418,The system is responding very slowly. I have been facing this issue recently.,Technical,Medium,Medium,Technical Support
CMP-0419,I cannot access my registered account. I have been facing this issue recently.,Account,High,Medium,Account Support
CMP-0420,I have a question that is not covered in the FAQ. Please help me resolve this.,Other,Low,Low,General Support
CMP-0421,The page keeps loading and never opens. I have been facing this issue recently.,Technical,High,Medium,Technical Support
CMP-0422,I need an update on my delivery. I have been facing this issue recently.,Delivery,Medium,Medium,Delivery Support
CMP-0423,My package arrived damaged. Can you assist me with this?,Delivery,Medium,Medium,Delivery Support
CMP-0424,My order was marked delivered but I did not receive it. I would like an update.,Delivery,Low,Medium,Delivery Support
CMP-0425,The delivered item is missing from my order. Can you assist me with this?,Delivery,Medium,Medium,Delivery Support
CMP-0426,I would like more information about the available services. Can you assist me with this?,Other,Low,High,General Support
CMP-0427,The promised service has not started. I would like an update.,Service,High,High,Service Support
CMP-0428,The assigned service was incomplete. I have been facing this issue recently.,Service,High,Medium,Service Support
CMP-0429,My service request is still pending. I would like an update.,Service,Medium,High,Service Support
CMP-0430,I would like more information about the available services. I would like an update.,Other,Low,Medium,General Support
CMP-0431,I need help changing my account details. I would like an update.,Account,Low,High,Account Support
CMP-0432,The service I requested has not been provided yet. I would like an update.,Service,Low,Low,Service Support
CMP-0433,I am unable to update my email address. I have been facing this issue recently.,Account,Medium,Low,Account Support
CMP-0434,The delivery status has not changed for several days. Can you assist me with this?,Delivery,Medium,Low,Delivery Support
CMP-0435,My package has been delayed unexpectedly. Please help me resolve this.,Delivery,High,Medium,Delivery Support
CMP-0436,My package arrived damaged. I have been facing this issue recently.,Delivery,High,Low,Delivery Support
CMP-0437,My service request is still pending.,Service,Medium,Low,Service Support
CMP-0438,I received the wrong item in my delivery. This needs to be checked.,Delivery,Medium,High,Delivery Support
CMP-0439,The login credentials are not being accepted. I have been facing this issue recently.,Account,High,High,Account Support
CMP-0440,The assigned service was incomplete. I have been facing this issue recently.,Service,Urgent,Medium,Service Support
CMP-0441,I need assistance with something else. Please help me resolve this.,Other,Low,Medium,General Support
CMP-0442,The invoice amount is different from the amount I paid. This needs to be checked.,Billing,Low,Low,Billing Support
CMP-0443,My billing statement contains an incorrect charge. This needs to be checked.,Billing,High,Medium,Billing Support
CMP-0444,The service I requested has not been provided yet.,Service,High,Medium,Service Support
CMP-0445,The assigned service was incomplete. This needs to be checked.,Service,Low,Medium,Service Support
CMP-0446,I cannot access my registered account. Can you assist me with this?,Account,Medium,Low,Account Support
CMP-0447,The payment failed but money was deducted from my account. Please help me resolve this.,Billing,Medium,Medium,Billing Support
CMP-0448,I need help with an issue not listed in the available categories.,Other,Medium,Medium,General Support
CMP-0449,My package arrived damaged. Please help me resolve this.,Delivery,Medium,Medium,Delivery Support
CMP-0450,I need help changing my account details. Can you assist me with this?,Account,Medium,Medium,Account Support
CMP-0451,The invoice amount is different from the amount I paid. Please help me resolve this.,Billing,Medium,High,Billing Support
CMP-0452,I was charged an unexpected service fee. This needs to be checked.,Billing,High,Medium,Billing Support
CMP-0453,The assigned service was incomplete. Can you assist me with this?,Service,Medium,Low,Service Support
CMP-0454,I am not sure which department can help with my issue. I have been facing this issue recently.,Other,Low,Medium,General Support
CMP-0455,I am unable to update my email address. Please help me resolve this.,Account,Medium,Medium,Account Support
CMP-0456,I would like more information about the available services. I have been facing this issue recently.,Other,Low,High,General Support
CMP-0457,The service representative did not resolve my issue. Can you assist me with this?,Service,High,High,Service Support
CMP-0458,I cannot access my registered account. This needs to be checked.,Account,Medium,Medium,Account Support
CMP-0459,I cannot complete account verification. This needs to be checked.,Account,Medium,High,Account Support
CMP-0460,The mobile application keeps showing an error. I have been facing this issue recently.,Technical,Medium,High,Technical Support
CMP-0461,The refund amount I received is incorrect. This needs to be checked.,Billing,Medium,Medium,Billing Support
CMP-0462,The delivery is delayed beyond the expected date.,Delivery,Low,High,Delivery Support
CMP-0463,The application stopped working after the latest update. Can you assist me with this?,Technical,High,Low,Technical Support
CMP-0464,I need an update on my delivery.,Delivery,Medium,Medium,Delivery Support
CMP-0465,My account details need to be updated. Can you assist me with this?,Account,Medium,Low,Account Support
CMP-0466,The system is responding very slowly. This needs to be checked.,Technical,Medium,Low,Technical Support
CMP-0467,I am unable to update my email address. I have been facing this issue recently.,Account,Urgent,Low,Account Support
CMP-0468,My refund has not been credited yet. Can you assist me with this?,Billing,Urgent,Medium,Billing Support
CMP-0469,I have a question that is not covered in the FAQ. Can you assist me with this?,Other,Medium,High,General Support
CMP-0470,I need help understanding a charge on my account.,Billing,High,Low,Billing Support
CMP-0471,The page keeps loading and never opens. I would like an update.,Technical,Low,Medium,Technical Support
CMP-0472,I need help changing my account details.,Account,Medium,Medium,Account Support
CMP-0473,I received the wrong item in my delivery. I have been facing this issue recently.,Delivery,Low,Low,Delivery Support
CMP-0474,My order was marked delivered but I did not receive it. Can you assist me with this?,Delivery,High,High,Delivery Support
CMP-0475,My payment was deducted but the order was not confirmed. I would like an update.,Billing,Medium,Medium,Billing Support
CMP-0476,I cannot complete account verification. This needs to be checked.,Account,Low,Low,Account Support
CMP-0477,My scheduled service has been delayed. I would like an update.,Service,High,High,Service Support
CMP-0478,My payment was deducted but the order was not confirmed. I have been facing this issue recently.,Billing,Medium,Medium,Billing Support
CMP-0479,My refund has not been credited yet. Please help me resolve this.,Billing,Urgent,Medium,Billing Support
CMP-0480,My account settings are not saving. I have been facing this issue recently.,Account,Medium,Low,Account Support
CMP-0481,I need general information about the service. This needs to be checked.,Other,Low,Medium,General Support
CMP-0482,The invoice amount is different from the amount I paid. Can you assist me with this?,Billing,Low,Low,Billing Support
CMP-0483,I need assistance with something else. I would like an update.,Other,Low,Medium,General Support
CMP-0484,I need an update about my service request. I would like an update.,Service,Low,High,Service Support
CMP-0485,My package arrived damaged. This needs to be checked.,Delivery,Medium,Low,Delivery Support
CMP-0486,I received the wrong item in my delivery. I have been facing this issue recently.,Delivery,Medium,Medium,Delivery Support
CMP-0487,The payment failed but money was deducted from my account. I have been facing this issue recently.,Billing,Medium,Medium,Billing Support
CMP-0488,I am unhappy with the support service I received. This needs to be checked.,Service,High,Medium,Service Support
CMP-0489,I need an update on my delivery. Please help me resolve this.,Delivery,Low,Low,Delivery Support
CMP-0490,I need help with an issue not listed in the available categories. This needs to be checked.,Other,Medium,Medium,General Support
CMP-0491,I cannot complete account verification. Can you assist me with this?,Account,High,Low,Account Support
CMP-0492,A technical error appears when I submit the form. I have been facing this issue recently.,Technical,Urgent,Medium,Technical Support
CMP-0493,The service quality was not as expected. Can you assist me with this?,Service,Medium,Low,Service Support
CMP-0494,I am unhappy with the support service I received. I have been facing this issue recently.,Service,Medium,Low,Service Support
CMP-0495,My refund has not been credited yet. Can you assist me with this?,Billing,Medium,Medium,Billing Support
CMP-0496,My account appears to be locked. I would like an update.,Account,Medium,High,Account Support
CMP-0497,The mobile application keeps showing an error. I have been facing this issue recently.,Technical,High,High,Technical Support
CMP-0498,My account appears to be locked. I have been facing this issue recently.,Account,Medium,Low,Account Support
CMP-0499,The system is responding very slowly. I would like an update.,Technical,Medium,Medium,Technical Support
CMP-0500,The delivered item is missing from my order. I would like an update.,Delivery,High,Medium,Delivery Support
